Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
ACCOUNTIDENTIFIER,17143392216,07/25/2023 10:05:04,2023-08-28,-0.35,"49,854.21", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392217,07/25/2023 10:05:04,2023-08-28,-0.15,"49,854.06", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392218,07/25/2023 10:05:04,2023-08-28,-0.02,"49,854.04", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392219,07/25/2023 10:05:04,2023-08-28,-0.25,"49,853.79", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392256,07/25/2023 10:10:02,2023-08-28,-0.35,"49,853.44", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392257,07/25/2023 10:10:02,2023-08-28,-0.15,"49,853.29", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392258,07/25/2023 10:10:02,2023-08-28,-0.02,"49,853.27", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392259,07/25/2023 10:10:02,2023-08-28,-0.25,"49,853.02", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392262,07/25/2023 10:10:02,2023-08-28,-15.00,"49,838.02", Trade Paired,USD,MESU3
ACCOUNTIDENTIFIER,17143392268,07/25/2023 10:20:15,2023-08-28,-1.40,"49,836.62", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392269,07/25/2023 10:20:15,2023-08-28,-0.60,"49,836.02", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392270,07/25/2023 10:20:15,2023-08-28,-0.08,"49,835.94", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392271,07/25/2023 10:20:15,2023-08-28,-1.00,"49,834.94", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392322,07/25/2023 10:24:30,2023-08-28,-0.70,"49,834.24", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392323,07/25/2023 10:24:30,2023-08-28,-0.30,"49,833.94", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392324,07/25/2023 10:24:30,2023-08-28,-0.04,"49,833.90", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392325,07/25/2023 10:24:30,2023-08-28,-0.50,"49,833.40", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392328,07/25/2023 10:24:30,2023-08-28,15.00,"49,848.40", Trade Paired,USD,MESU3
ACCOUNTIDENTIFIER,17143392385,07/25/2023 10:29:39,2023-08-28,-0.35,"49,848.05", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392386,07/25/2023 10:29:39,2023-08-28,-0.15,"49,847.90", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392387,07/25/2023 10:29:39,2023-08-28,-0.02,"49,847.88", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392388,07/25/2023 10:29:39,2023-08-28,-0.25,"49,847.63", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392391,07/25/2023 10:29:39,2023-08-28,11.25,"49,858.88", Trade Paired,USD,MESU3
ACCOUNTIDENTIFIER,17143392397,07/25/2023 10:29:43,2023-08-28,-0.35,"49,858.53", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392398,07/25/2023 10:29:43,2023-08-28,-0.15,"49,858.38", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392399,07/25/2023 10:29:43,2023-08-28,-0.02,"49,858.36", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392400,07/25/2023 10:29:43,2023-08-28,-0.25,"49,858.11", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392403,07/25/2023 10:29:43,2023-08-28,11.25,"49,869.36", Trade Paired,USD,MESU3
ACCOUNTIDENTIFIER,17143392412,07/25/2023 16:13:45,2023-08-28,-1.40,"49,867.96", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392413,07/25/2023 16:13:45,2023-08-28,-0.60,"49,867.36", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392414,07/25/2023 16:13:45,2023-08-28,-0.08,"49,867.28", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392415,07/25/2023 16:13:45,2023-08-28,-1.00,"49,866.28", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392466,07/25/2023 16:14:17,2023-08-28,-0.35,"49,865.93", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392467,07/25/2023 16:14:17,2023-08-28,-0.15,"49,865.78", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392468,07/25/2023 16:14:17,2023-08-28,-0.02,"49,865.76", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392469,07/25/2023 16:14:17,2023-08-28,-0.25,"49,865.51", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392472,07/25/2023 16:14:17,2023-08-28,3.75,"49,869.26", Trade Paired,USD,MESU3
ACCOUNTIDENTIFIER,17143392474,07/25/2023 16:14:17,2023-08-28,-0.35,"49,868.91", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392475,07/25/2023 16:14:17,2023-08-28,-0.15,"49,868.76", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392476,07/25/2023 16:14:17,2023-08-28,-0.02,"49,868.74", Nfa Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392477,07/25/2023 16:14:17,2023-08-28,-0.25,"49,868.49", Commission,USD,MESU3
ACCOUNTIDENTIFIER,17143392480,07/25/2023 16:14:17,2023-08-28,3.75,"49,872.24", Trade Paired,USD,MESU3
ACCOUNTIDENTIFIER,17143392490,07/25/2023 16:14:19,2023-08-28,-0.35,"49,871.89", Exchange Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392491,07/25/2023 16:14:19,2023-08-28,-0.15,"49,871.74", Clearing Fee,USD,MESU3
ACCOUNTIDENTIFIER,17143392492,07/25/2023 16:14:19,2023-08-28,-0.02,"49,871.72", Nfa Fee,USD,MESU3
